"('OVERALL', 'REB')","('OVERALL', 'OREB')","('OVERALL', 'DREB')","('OVERALL', 'REB_CONTESTED')","('OVERALL', 'REB_UNCONTESTED')","('0 Contesting Rebounders', 'REB')","('0 Contesting Rebounders', 'OREB')","('0 Contesting Rebounders', 'DREB')","('0 Contesting Rebounders', 'REB_FREQ')","('1 Contesting Rebounder', 'REB')","('1 Contesting Rebounder', 'OREB')","('1 Contesting Rebounder', 'DREB')","('1 Contesting Rebounder', 'REB_FREQ')","('2+ Contesting Rebounders', 'REB')","('2+ Contesting Rebounders', 'OREB')","('2+ Contesting Rebounders', 'DREB')","('2+ Contesting Rebounders', 'REB_FREQ')","('0-3 Feet', 'REB')","('0-3 Feet', 'OREB')","('0-3 Feet', 'DREB')","('0-3 Feet', 'REB_FREQ')","('3-6 Feet', 'REB')","('3-6 Feet', 'OREB')","('3-6 Feet', 'DREB')","('3-6 Feet', 'REB_FREQ')",PLAYER_ID,SEASON,TEAM_ID,"('6-10 Feet', 'REB')","('6-10 Feet', 'OREB')","('6-10 Feet', 'DREB')","('6-10 Feet', 'REB_FREQ')","('10+ Feet', 'REB')","('10+ Feet', 'OREB')","('10+ Feet', 'DREB')","('10+ Feet', 'REB_FREQ')"
446,123,323,125,321,321.0,66.0,255.0,0.72,114.0,46.0,68.0,0.256,11.0,11.0,0.0,0.025,85.0,26.0,59.0,0.191,191.0,53.0,138.0,0.428,1630700,2024-25,1610612737,99.0,17.0,82.0,0.222,71.0,27.0,44.0,0.159
227,59,168,73,154,154.0,25.0,129.0,0.678,69.0,30.0,39.0,0.304,4.0,4.0,0.0,0.018,48.0,16.0,32.0,0.211,74.0,11.0,63.0,0.326,1630700,2023-24,1610612740,54.0,17.0,37.0,0.238,51.0,15.0,36.0,0.225
188,36,152,56,132,132.0,19.0,113.0,0.702,46.0,12.0,34.0,0.245,10.0,5.0,5.0,0.053,33.0,9.0,24.0,0.176,68.0,9.0,59.0,0.362,1630700,2022-23,1610612740,46.0,5.0,41.0,0.245,41.0,13.0,28.0,0.218
267,86,181,76,191,191.0,42.0,149.0,0.715,67.0,35.0,32.0,0.251,9.0,9.0,0.0,0.034,86.0,19.0,67.0,0.322,85.0,22.0,63.0,0.318,1642258,2024-25,1610612737,44.0,18.0,26.0,0.165,52.0,27.0,25.0,0.195
301,63,238,37,264,264.0,46.0,218.0,0.877,35.0,15.0,20.0,0.116,2.0,2.0,0.0,0.007,20.0,9.0,11.0,0.066,62.0,9.0,53.0,0.206,1629027,2018-19,1610612737,98.0,14.0,84.0,0.326,121.0,31.0,90.0,0.402
235,36,199,25,210,210.0,25.0,185.0,0.894,24.0,11.0,13.0,0.102,1.0,0.0,1.0,0.004,5.0,1.0,4.0,0.021,21.0,4.0,17.0,0.089,1629027,2024-25,1610612737,77.0,9.0,68.0,0.328,132.0,22.0,110.0,0.562
242,38,204,25,217,217.0,31.0,186.0,0.897,24.0,6.0,18.0,0.099,1.0,1.0,0.0,0.004,10.0,4.0,6.0,0.041,24.0,8.0,16.0,0.099,1629027,2020-21,1610612737,87.0,9.0,78.0,0.36,121.0,17.0,104.0,0.5
284,50,234,27,257,257.0,35.0,222.0,0.905,27.0,15.0,12.0,0.095,0.0,0.0,0.0,0.0,8.0,5.0,3.0,0.028,44.0,16.0,28.0,0.155,1629027,2021-22,1610612737,98.0,8.0,90.0,0.345,134.0,21.0,113.0,0.472
217,56,161,23,194,194.0,42.0,152.0,0.894,21.0,12.0,9.0,0.097,2.0,2.0,0.0,0.009,6.0,3.0,3.0,0.028,27.0,12.0,15.0,0.124,1629027,2022-23,1610612737,64.0,11.0,53.0,0.295,120.0,30.0,90.0,0.553
145,24,121,11,134,134.0,19.0,115.0,0.924,9.0,3.0,6.0,0.062,2.0,2.0,0.0,0.014,3.0,1.0,2.0,0.021,14.0,4.0,10.0,0.097,1629027,2023-24,1610612737,44.0,3.0,41.0,0.303,84.0,16.0,68.0,0.579
254,31,223,41,213,213.0,20.0,193.0,0.839,40.0,10.0,30.0,0.157,1.0,1.0,0.0,0.004,14.0,4.0,10.0,0.055,67.0,6.0,61.0,0.264,1629027,2019-20,1610612737,91.0,8.0,83.0,0.358,81.0,13.0,68.0,0.319
91,36,55,32,59,59.0,15.0,44.0,0.648,27.0,16.0,11.0,0.297,5.0,5.0,0.0,0.055,22.0,14.0,8.0,0.242,29.0,9.0,20.0,0.319,1629611,2024-25,1610612737,25.0,5.0,20.0,0.275,15.0,8.0,7.0,0.165
