PLAYER_ID,PLAYER,SEASON,Height,Weight,Position,Draft Year
1630530,Trey Murphy III,2024-25,6-8,206,Forward,2021
1630530,Trey Murphy III,2023-24,6-8,206,Forward,2021
1630530,Trey Murphy III,2021-22,6-8,206,Forward,2021
1630530,Trey Murphy III,2022-23,6-8,206,Forward,2021
1630526,Jeremiah Robinson-Earl,2024-25,6-9,240,Forward,2021
1630526,Jeremiah Robinson-Earl,2023-24,6-9,240,Forward,2021
1630526,Jeremiah Robinson-Earl,2021-22,6-9,240,Forward,2021
1630526,Jeremiah Robinson-Earl,2022-23,6-9,240,Forward,2021
1629632,Coby White,2024-25,6-4,195,Guard,2019
1629632,Coby White,2020-21,6-4,195,Guard,2019
1629632,Coby White,2021-22,6-4,195,Guard,2019
1629632,Coby White,2022-23,6-4,195,Guard,2019
1629632,Coby White,2023-24,6-4,195,Guard,2019
1629632,Coby White,2019-20,6-4,195,Guard,2019
1628366,Lonzo Ball,2018-19,6-5,190,Guard,2017
1628366,Lonzo Ball,2024-25,6-5,190,Guard,2017
1628366,Lonzo Ball,2020-21,6-5,190,Guard,2017
1628366,Lonzo Ball,2021-22,6-5,190,Guard,2017
1628366,Lonzo Ball,2017-18,6-5,190,Guard,2017
1628366,Lonzo Ball,2019-20,6-5,190,Guard,2017
1630581,Josh Giddey,2024-25,6-7,216,Guard,2021
1630581,Josh Giddey,2023-24,6-7,216,Guard,2021
1630581,Josh Giddey,2021-22,6-7,216,Guard,2021
1630581,Josh Giddey,2022-23,6-7,216,Guard,2021
1628975,Jevon Carter,2018-19,6-0,200,Guard,2018
1628975,Jevon Carter,2024-25,6-0,200,Guard,2018
1628975,Jevon Carter,2020-21,6-0,200,Guard,2018
1628975,Jevon Carter,2021-22,6-0,200,Guard,2018
1628975,Jevon Carter,2022-23,6-0,200,Guard,2018
1628975,Jevon Carter,2023-24,6-0,200,Guard,2018
1628975,Jevon Carter,2019-20,6-0,200,Guard,2018
1630188,Jalen Smith,2024-25,6-8,215,Forward-Center,2020
1630188,Jalen Smith,2020-21,6-8,215,Forward-Center,2020
1630188,Jalen Smith,2021-22,6-8,215,Forward-Center,2020
1630188,Jalen Smith,2022-23,6-8,215,Forward-Center,2020
1630188,Jalen Smith,2023-24,6-8,215,Forward-Center,2020
202696,Nikola Vučević,2018-19,6-9,260,Center,2011
202696,Nikola Vučević,2024-25,6-9,260,Center,2011
202696,Nikola Vučević,2016-17,6-9,260,Center,2011
202696,Nikola Vučević,2020-21,6-9,260,Center,2011
202696,Nikola Vučević,2021-22,6-9,260,Center,2011
202696,Nikola Vučević,2017-18,6-9,260,Center,2011
202696,Nikola Vučević,2022-23,6-9,260,Center,2011
202696,Nikola Vučević,2023-24,6-9,260,Center,2011
202696,Nikola Vučević,2015-16,6-9,260,Center,2011
202696,Nikola Vučević,2019-20,6-9,260,Center,2011
1630245,Ayo Dosunmu,2024-25,6-4,200,Guard,2021
1630245,Ayo Dosunmu,2023-24,6-4,200,Guard,2021
1630245,Ayo Dosunmu,2021-22,6-4,200,Guard,2021
1630245,Ayo Dosunmu,2022-23,6-4,200,Guard,2021
1642443,Jahmir Young,2024-25,6-0,185,Guard,Undrafted
1628380,Zach Collins,2018-19,6-9,250,Forward-Center,2017
1628380,Zach Collins,2024-25,6-9,250,Forward-Center,2017
1628380,Zach Collins,2021-22,6-9,250,Forward-Center,2017
1628380,Zach Collins,2017-18,6-9,250,Forward-Center,2017
1628380,Zach Collins,2022-23,6-9,250,Forward-Center,2017
1628380,Zach Collins,2023-24,6-9,250,Forward-Center,2017
1628380,Zach Collins,2019-20,6-9,250,Forward-Center,2017
1628989,Kevin Huerter,2018-19,6-6,198,Guard-Forward,2018
1628989,Kevin Huerter,2024-25,6-6,198,Guard-Forward,2018
1628989,Kevin Huerter,2020-21,6-6,198,Guard-Forward,2018
1628989,Kevin Huerter,2021-22,6-6,198,Guard-Forward,2018
1628989,Kevin Huerter,2022-23,6-6,198,Guard-Forward,2018
1628989,Kevin Huerter,2023-24,6-6,198,Guard-Forward,2018
1628989,Kevin Huerter,2019-20,6-6,198,Guard-Forward,2018
1641824,Matas Buzelis,2024-25,6-8,209,Forward,2024
1641763,Julian Phillips,2024-25,6-6,198,Forward,2023
1641763,Julian Phillips,2023-24,6-6,198,Forward,2023
1641801,Emanuel Miller,2024-25,6-5,215,Forward,Undrafted
1629659,Talen Horton-Tucker,2024-25,6-4,234,Guard,2019
1629659,Talen Horton-Tucker,2020-21,6-4,234,Guard,2019
1629659,Talen Horton-Tucker,2021-22,6-4,234,Guard,2019
1629659,Talen Horton-Tucker,2022-23,6-4,234,Guard,2019
1629659,Talen Horton-Tucker,2023-24,6-4,234,Guard,2019
1629659,Talen Horton-Tucker,2019-20,6-4,234,Guard,2019
1631207,Dalen Terry,2024-25,6-6,195,Forward,2022
1631207,Dalen Terry,2023-24,6-6,195,Forward,2022
1631207,Dalen Terry,2022-23,6-6,195,Forward,2022
1630200,Tre Jones,2024-25,6-1,185,Guard,2020
1630200,Tre Jones,2020-21,6-1,185,Guard,2020
1630200,Tre Jones,2021-22,6-1,185,Guard,2020
1630200,Tre Jones,2022-23,6-1,185,Guard,2020
1630200,Tre Jones,2023-24,6-1,185,Guard,2020
1630604,E.J. Liddell,2024-25,6-6,240,Forward,2022
1630604,E.J. Liddell,2023-24,6-6,240,Forward,2022
1630172,Patrick Williams,2024-25,6-6,215,Forward,2020
1630172,Patrick Williams,2020-21,6-6,215,Forward,2020
1630172,Patrick Williams,2021-22,6-6,215,Forward,2020
1630172,Patrick Williams,2022-23,6-6,215,Forward,2020
1630172,Patrick Williams,2023-24,6-6,215,Forward,2020
203957,Danté Exum,2018-19,6-5,214,Guard,2014
203957,Danté Exum,2024-25,6-5,214,Guard,2014
203957,Danté Exum,2016-17,6-5,214,Guard,2014
203957,Danté Exum,2020-21,6-5,214,Guard,2014
