star_player,player1_archetype,player2_archetype,player3_archetype,player4_archetype,offensive_rating,defensive_rating,net_rating,min_sum
Devin Booker,3&D,All Around Guard,Post Scorer,Wing Shot Creator,108.99502762430939,114.13563535911602,-5.1292817679558,362.0
Devin Booker,Movement Shooter,Movement Shooter,Post Scorer,Wing Shot Creator,113.27762039660057,106.26033994334279,7.01728045325779,353.0
Devin Booker,Movement Shooter,Post Scorer,Pure Point Guard,Wing Shot Creator,113.3497159090909,107.37329545454546,5.967897727272727,352.0
Devin Booker,3&D,All Around Guard,Rim Runner/Protector,Wing Shot Creator,116.3061946902655,111.952802359882,4.354277286135693,339.0
Devin Booker,3&D,All Around Big,All Around Guard,Wing Shot Creator,115.74920634920635,115.50634920634921,0.23904761904761945,315.0
Devin Booker,3&D,Rim Runner/Protector,Shot Creator Guard,Stretch Big,102.42452229299363,107.44426751592357,-5.0194267515923565,314.0
Devin Booker,Movement Shooter,Pure Point Guard,Rim Runner/Protector,Wing Shot Creator,121.15463917525773,106.60103092783504,14.547422680412371,291.0
Devin Booker,3&D,Pure Point Guard,Rim Runner/Protector,Wing Shot Creator,118.98274647887324,105.35985915492957,13.629225352112677,284.0
Devin Booker,3&D,Post Scorer,Rim Runner/Protector,Shot Creator Guard,97.76875000000001,106.99448529411765,-9.252573529411764,272.0
Devin Booker,Post Scorer,Pure Point Guard,Rim Runner/Protector,Stretch Big,101.65333333333334,109.44962962962964,-7.762962962962963,270.0
Devin Booker,3&D,All Around Big,Pure Point Guard,Wing Shot Creator,112.59076923076923,110.91615384615383,1.6746153846153828,260.0
Devin Booker,3&D,Post Scorer,Pure Point Guard,Rim Runner/Protector,97.89961089494162,110.9852140077821,-13.058365758754864,257.0
Devin Booker,3&D,3&D,All Around Big,Pure Point Guard,116.929718875502,107.48554216867468,9.352208835341367,249.0
Devin Booker,3&D,Rim Runner/Protector,Shot Creator Guard,Wing Shot Creator,115.70803212851405,110.62690763052208,5.074698795180723,249.0
Devin Booker,All Around Big,Movement Shooter,Wing Shot Creator,Wing Shot Creator,105.94291497975709,117.7506072874494,-11.813360323886641,247.0
Devin Booker,3&D,All Around Guard,Movement Shooter,Rim Runner/Protector,117.49377593360995,112.43526970954358,5.067634854771785,241.0
Devin Booker,3&D,All Around Guard,Movement Shooter,Post Scorer,115.36722689075631,112.07899159663866,3.283613445378151,238.0
