GROUP_SET,GROUP_ID,GROUP_NAME,GP,W,L,W_PCT,MIN,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,OFF_RATING_RANK,DEF_RATING_RANK,NET_RATING_RANK,AST_PCT_RANK,AST_TO_RANK,AST_RATIO_RANK,OREB_PCT_RANK,DREB_PCT_RANK,REB_PCT_RANK,TM_TOV_PCT_RANK,EFG_PCT_RANK,TS_PCT_RANK,PACE_RANK,PIE_RANK,SUM_TIME_PLAYED,TEAM_ID,SEASON
Lineups,201142-201933-203925-1628455-1629013,K. Durant - B. Griffin - J. Harris - A. James - L. Shamet,2,2,0,1.0,5.0,100.0,100.0,127.1,133.3,-27.1,-33.3,1.0,1.5,25.0,0.0,0.5,0.3,0.222,0.643,0.643,90.6,88.46,73.72,9,0.469,151,84,1,1,183,296,650,634,1,148,105,326,428,495,697,204,239,555,331,14650,1610612751,2020-21
Lineups,201142-201145-1628455-1628993-1629013,K. Durant - J. Green - A. James - A. Johnson - L. Shamet,1,1,0,1.0,5.0,150.5,144.4,87.5,77.8,63.0,66.7,1.0,3.0,18.8,0.667,1.0,0.818,0.111,0.389,0.558,87.1,94.25,78.55,9,0.842,292,198,1,1,199,136,375,101,1,45,246,45,1,69,554,417,324,498,109,13750,1610612751,2020-21
Lineups,201142-201145-203925-1628455-1629651,K. Durant - J. Green - J. Harris - A. James - N. Claxton,2,1,1,0.5,5.0,147.1,127.3,101.1,91.7,46.0,35.6,0.667,2.0,14.3,0.333,0.625,0.545,0.091,0.583,0.735,100.5,113.31,94.42,11,0.816,151,198,448,518,184,198,432,175,212,96,329,143,381,221,523,253,169,191,116,14615,1610612751,2020-21
Lineups,201142-201145-202681-203915-203925,K. Durant - J. Green - K. Irving - S. Dinwiddie - J. Harris,2,1,1,0.5,5.0,120.3,107.7,116.3,114.3,4.0,-6.6,0.333,0.5,7.1,0.0,0.4,0.222,0.154,0.571,0.726,115.7,123.04,102.53,13,0.5,151,198,448,518,175,279,570,571,384,252,414,326,469,515,622,265,173,116,299,15800,1610612751,2020-21
Lineups,2199-200782-201566-201935-203463,T. Chandler - P. Tucker - R. Westbrook - J. Harden - B. McLemore,5,2,3,0.4,31.0,130.8,127.7,93.3,95.1,37.5,32.6,0.462,1.71,14.1,0.286,0.759,0.526,0.108,0.594,0.644,98.6,98.95,82.46,65,0.681,55,96,461,348,18,111,259,106,215,78,192,142,160,125,298,139,134,328,107,91685,1610612745,2019-20
Lineups,2199-200782-201566-201935-1627863,T. Chandler - P. Tucker - R. Westbrook - J. Harden - D. House Jr.,5,3,2,0.6,24.0,120.1,119.6,109.5,106.0,10.6,13.6,0.5,1.1,14.9,0.462,0.731,0.596,0.196,0.568,0.578,99.7,101.49,84.58,51,0.546,55,59,404,266,23,143,321,151,163,126,170,63,185,77,390,165,198,313,154,71650,1610612745,2019-20
Lineups,2199-200782-201935-203085-203463,T. Chandler - P. Tucker - J. Harden - A. Rivers - B. McLemore,8,6,2,0.75,20.0,132.2,125.6,116.1,116.7,16.1,8.9,0.211,1.0,7.5,0.286,0.824,0.526,0.093,0.605,0.63,99.6,101.92,84.93,43,0.503,27,21,404,220,30,117,356,166,278,127,278,142,139,125,280,133,140,308,176,60050,1610612745,2019-20
Lineups,2199-200782-201566-201935-203085,T. Chandler - P. Tucker - R. Westbrook - J. Harden - A. Rivers,6,5,1,0.833,12.0,140.5,126.7,69.6,66.7,71.0,60.0,0.111,1.0,3.0,0.154,0.824,0.533,0.033,0.548,0.678,107.1,115.31,96.09,30,0.967,42,30,206,207,63,116,175,55,289,127,288,214,139,118,235,178,110,154,50,35590,1610612745,2019-20
Lineups,2199-200757-201935-203085-203463,T. Chandler - T. Sefolosha - J. Harden - A. Rivers - B. McLemore,7,3,4,0.429,10.0,133.2,125.0,103.8,100.0,29.4,25.0,0.375,0.75,9.7,0.333,0.7,0.5,0.167,0.632,0.666,107.1,112.65,93.88,24,0.539,33,59,481,346,77,118,270,122,239,181,256,97,201,138,363,112,119,177,157,29400,1610612745,2019-20
Lineups,200782-201935-203085-203991-1629598,P. Tucker - J. Harden - A. Rivers - C. Capela - C. Clemons,4,1,3,0.25,9.0,81.9,81.3,85.5,85.0,-3.6,-3.8,0.5,0.75,14.3,0.286,0.75,0.579,0.25,0.5,0.468,96.3,96.9,80.75,16,0.395,74,159,461,366,82,274,225,325,163,181,177,142,164,85,426,200,276,340,240,26750,1610612745,2019-20
Lineups,2199-200757-201569-201935-203085,T. Chandler - T. Sefolosha - E. Gordon - J. Harden - A. Rivers,5,4,1,0.8,8.0,65.6,64.7,146.8,138.1,-81.1,-73.4,0.75,3.0,13.6,0.154,0.9,0.478,0.059,0.25,0.31,106.2,110.55,92.12,17,0.15,55,43,206,212,88,316,415,442,68,24,195,214,114,208,242,321,329,199,317,24750,1610612745,2019-20
Lineups,2199-201935-203085-203463-1627863,T. Chandler - J. Harden - A. Rivers - B. McLemore - D. House Jr.,3,1,2,0.333,7.0,90.7,93.3,88.8,82.4,1.8,11.0,0.6,3.0,16.7,0.0,0.6,0.316,0.067,0.464,0.485,102.1,104.73,87.27,15,0.439,95,159,404,352,99,248,219,160,129,24,123,237,249,325,249,251,271,272,227,22000,1610612745,2019-20
Lineups,2199-200782-201935-203085-1629598,T. Chandler - P. Tucker - J. Harden - A. Rivers - C. Clemons,5,3,2,0.6,7.0,62.5,62.5,96.4,87.5,-33.9,-25.0,0.25,0.25,5.6,0.111,0.667,0.389,0.25,0.385,0.385,102.0,106.91,89.1,16,0.067,55,59,404,266,101,318,232,382,271,217,285,229,208,276,426,280,297,240,327,21550,1610612745,2019-20
Lineups,200757-201935-203463-1628392-1629598,T. Sefolosha - J. Harden - B. McLemore - I. Hartenstein - C. Clemons,1,1,0,1.0,7.0,152.9,166.7,75.8,69.2,77.1,97.4,0.6,3.0,15.8,0.571,0.6,0.588,0.083,0.542,0.663,90.7,90.84,75.7,12,0.976,239,159,1,1,113,24,188,31,129,24,150,24,249,78,268,187,122,367,48,19815,1610612745,2019-20
Lineups,200782-201935-203085-1629109-1629598,P. Tucker - J. Harden - A. Rivers - G. Clark - C. Clemons,1,0,1,0.0,6.0,94.5,100.0,108.1,107.1,-13.6,-7.1,0.4,2.0,10.0,0.455,0.667,0.55,0.067,0.406,0.444,113.7,110.77,92.31,15,0.469,239,367,206,367,120,209,323,331,233,49,246,64,208,106,249,275,283,194,209,18850,1610612745,2019-20
Lineups,2199-201569-201935-203085-203463,T. Chandler - E. Gordon - J. Harden - A. Rivers - B. McLemore,2,1,1,0.5,6.0,149.0,163.6,66.7,66.7,82.3,97.0,0.4,2.0,13.3,0.4,0.714,0.583,0.091,0.722,0.745,99.9,95.45,79.54,11,1.0,138,159,206,284,130,29,175,32,233,49,197,74,189,81,275,71,78,349,31,17350,1610612745,2019-20
Lineups,201145-201935-203496-1626187-1629598,J. Green - J. Harden - R. Covington - M. Frazier - C. Clemons,1,0,1,0.0,5.0,144.4,144.4,45.0,44.4,99.4,100.0,0.2,1.0,9.1,0.5,0.5,0.5,0.111,0.722,0.722,88.5,89.07,74.23,9,1.471,239,367,206,367,152,59,145,17,279,127,261,26,277,138,299,71,83,374,14,14550,1610612745,2019-20
Lineups,2199-200782-201569-201935-203085,T. Chandler - P. Tucker - E. Gordon - J. Harden - A. Rivers,3,2,1,0.667,5.0,143.8,163.6,58.9,63.6,84.8,100.0,0.4,2.0,14.3,0.2,0.75,0.538,0.091,0.611,0.719,110.8,99.94,83.28,11,1.065,95,96,206,240,140,29,171,17,233,49,177,183,164,112,275,129,85,324,29,15850,1610612745,2019-20
Lineups,200782-201569-201935-1628392-1629109,P. Tucker - E. Gordon - J. Harden - I. Hartenstein - G. Clark,6,5,1,0.833,12.0,184.0,184.6,105.8,92.6,78.3,92.0,0.267,2.0,11.4,0.5,0.75,0.636,0.077,0.82,0.855,98.9,105.41,87.85,26,0.77,40,29,284,290,63,34,330,54,320,52,272,52,196,90,368,72,68,247,109,36200,1610612745,2018-19
Lineups,101123-201569-201935-1628392-1629109,G. Green - E. Gordon - J. Harden - I. Hartenstein - G. Clark,4,3,1,0.75,9.0,85.8,80.0,108.9,110.0,-23.1,-30.0,0.4,1.0,8.7,0.1,0.778,0.421,0.1,0.4,0.454,102.4,105.49,87.91,20,0.273,68,56,284,303,88,337,442,489,275,132,315,270,189,301,391,319,330,245,353,27300,1610612745,2018-19
Lineups,2546-101123-200782-201935-1628392,C. Anthony - G. Green - P. Tucker - J. Harden - I. Hartenstein,3,2,1,0.667,8.0,94.5,93.8,93.3,93.8,1.2,0.0,0.167,0.25,5.0,0.375,0.429,0.4,0.25,0.464,0.504,96.1,96.18,80.15,16,0.27,109,106,284,334,100,298,334,242,334,232,333,115,365,311,523,286,292,384,355,23955,1610612745,2018-19
Lineups,2546-101123-201935-1628392-1629109,C. Anthony - G. Green - J. Harden - I. Hartenstein - G. Clark,3,2,1,0.667,6.0,108.7,116.7,55.1,50.0,53.5,66.7,0.8,4.0,23.5,0.167,0.875,0.571,0.083,0.545,0.589,90.5,91.43,76.19,12,0.964,109,106,284,334,125,186,195,75,99,16,75,246,148,128,376,214,222,433,75,18900,1610612745,2018-19
Lineups,201569-201935-203516-1628392-1629109,E. Gordon - J. Harden - J. Ennis III - I. Hartenstein - G. Clark,3,3,0,1.0,6.0,115.7,125.0,109.1,100.0,6.6,25.0,0.333,0.33,6.3,0.6,0.333,0.455,0.25,0.438,0.627,98.3,98.46,82.05,12,0.71,109,56,1,1,136,147,347,163,294,225,329,41,376,262,523,293,190,358,134,17550,1610612745,2018-19
