,PLAYER_ID,PLAYER,Height,Weight,Position,Draft Year
312,201949,James Johnson,6-7,240,Forward,2009
313,1630543,Isaiah Jackson,6-8,205,Forward,2021
314,1630174,Aaron Nesmith,6-5,215,Guard-Forward,2020
315,1641767,Ben Sheppard,6-6,190,Guard,2023
316,1631245,Quenton Jackson,6-4,173,Guard,Undrafted
317,1626167,Myles Turner,6-11,250,Center-Forward,2015
318,1627783,Pascal Siakam,6-8,245,Forward,2016
319,1630178,Tyrese Maxey,6-2,200,Guard,2020
320,203083,Andre Drummond,6-11,279,Center,2012
321,1629656,Quentin Grimes,6-4,210,Guard,2021
322,200768,Kyle Lowry,6-0,196,Guard,2006
323,202331,Paul George,6-8,220,Forward,2010
324,1626162,Kelly Oubre Jr.,6-8,203,Forward-Guard,2015
325,1630288,Jeff Dowtin Jr.,6-3,177,Guard,Undrafted
326,1630215,Jared Butler,6-3,193,Guard,2021
327,1641741,Ricky Council IV,6-6,207,Guard,Undrafted
328,1629022,Lonnie Walker IV,6-4,204,Guard-Forward,2018
329,1641720,Jalen Hood-Schifino,6-5,210,Guard,2023
330,1642348,Justin Edwards,6-7,203,Forward,Undrafted
331,1642272,Jared McCain,6-3,195,Guard,2024
332,203954,Joel Embiid,7-0,280,Center-Forward,2014
333,201569,Eric Gordon,6-3,215,Guard,2008
334,1627824,Guerschon Yabusele,6-7,265,Forward,2016
335,1641737,Adem Bona,6-10,235,Forward,2024
336,1642024,Alex Reese,6-9,245,Forward-Center,Undrafted
337,1626220,Royce O'Neale,6-6,226,Forward,Undrafted
338,1642346,Ryan Dunn,6-7,216,Forward,2024
339,1626164,Devin Booker,6-5,206,Guard,2015
340,1630208,Nick Richards,6-11,245,Center,2020
341,203078,Bradley Beal,6-4,207,Guard,2012
342,1642345,Oso Ighodaro,6-11,235,Forward,2024
343,1628960,Grayson Allen,6-3,198,Guard,2018
344,1627814,Damion Lee,6-6,210,Guard-Forward,Undrafted
345,1629626,Bol Bol,7-3,220,Center-Forward,2019
346,1631221,Collin Gillespie,6-1,195,Guard,Undrafted
347,1631102,TyTy Washington Jr.,6-3,195,Guard,2022
348,1641779,Jalen Bridges,6-8,225,Forward,Undrafted
349,1628998,Cody Martin,6-6,205,Forward,2019
350,203995,Vasilije Micic,6-3,188,Guard,2014
