PLAYER_ID,SEASON,FREQ,D_FGM,D_FGA,D_FG_PCT,NORMAL_FG_PCT,PCT_PLUSMINUS
200826,2016-17,1.0,2.53,6.0,0.422,0.445,-0.024
200826,2017-18,1.0,4.03,7.93,0.508,0.444,0.064
200826,2018-19,1.0,3.08,6.34,0.485,0.441,0.044
200826,2019-20,1.0,2.5,4.86,0.515,0.444,0.071
201142,2015-16,1.0,4.47,11.54,0.387,0.448,-0.061
201142,2016-17,1.0,5.13,12.93,0.397,0.456,-0.06
201142,2017-18,1.0,5.51,12.66,0.436,0.46,-0.024
201142,2018-19,1.0,5.14,12.17,0.423,0.457,-0.034
201142,2020-21,1.0,5.11,11.89,0.43,0.47,-0.039
201142,2021-22,1.0,6.07,14.24,0.427,0.461,-0.035
201142,2022-23,1.0,6.26,14.81,0.422,0.478,-0.055
201142,2023-24,1.0,5.56,12.57,0.442,0.479,-0.037
201142,2024-25,1.0,5.1,12.39,0.411,0.468,-0.057
201143,2015-16,1.0,6.21,13.84,0.448,0.469,-0.021
201143,2016-17,1.0,6.82,14.62,0.467,0.466,0.0
201143,2017-18,1.0,7.0,17.29,0.405,0.468,-0.063
201143,2018-19,1.0,7.6,16.49,0.461,0.479,-0.018
201143,2019-20,1.0,7.34,15.52,0.473,0.475,-0.002
201143,2020-21,1.0,7.67,15.07,0.509,0.489,0.02
201143,2021-22,1.0,6.39,15.04,0.425,0.472,-0.047
201143,2022-23,1.0,7.44,16.44,0.453,0.486,-0.033
201143,2023-24,1.0,6.25,13.43,0.465,0.48,-0.015
201143,2024-25,1.0,5.95,13.17,0.452,0.481,-0.029
201144,2015-16,1.0,4.77,10.55,0.452,0.436,0.016
201144,2016-17,1.0,5.13,11.64,0.441,0.45,-0.009
201144,2017-18,1.0,4.17,10.17,0.41,0.449,-0.039
201144,2018-19,1.0,5.26,11.39,0.462,0.448,0.013
201144,2019-20,1.0,5.45,11.23,0.485,0.452,0.033
201144,2020-21,1.0,4.69,10.75,0.436,0.449,-0.013
201144,2021-22,1.0,4.43,10.04,0.441,0.452,-0.011
201144,2022-23,1.0,5.64,11.58,0.487,0.469,0.018
201144,2023-24,1.0,4.43,9.89,0.448,0.461,-0.013
201144,2024-25,1.0,4.15,8.59,0.484,0.46,0.024
201145,2015-16,1.0,4.68,10.1,0.463,0.447,0.016
201145,2016-17,1.0,3.84,8.49,0.452,0.453,-0.001
201145,2017-18,1.0,4.56,10.05,0.454,0.459,-0.005
201145,2018-19,1.0,5.89,12.62,0.467,0.465,0.002
201145,2019-20,1.0,4.15,8.88,0.467,0.465,0.002
201145,2020-21,1.0,5.72,11.85,0.483,0.471,0.012
201145,2021-22,1.0,5.01,10.63,0.472,0.472,0.0
201145,2022-23,1.0,3.79,7.98,0.474,0.471,0.003
201145,2023-24,1.0,3.13,7.29,0.43,0.472,-0.043
201145,2024-25,1.0,2.44,4.81,0.506,0.461,0.046
201147,2015-16,1.0,3.43,7.34,0.467,0.44,0.027
201147,2016-17,1.0,2.09,4.61,0.452,0.445,0.007
201147,2017-18,1.0,4.83,10.78,0.448,0.449,-0.001
201147,2018-19,1.0,2.58,5.71,0.452,0.449,0.003
201147,2019-20,1.0,1.25,2.5,0.5,0.431,0.069
201148,2015-16,1.0,3.17,6.83,0.463,0.461,0.003
201148,2016-17,1.0,2.81,6.69,0.42,0.463,-0.044
201148,2017-18,1.0,2.81,6.15,0.458,0.47,-0.013
201150,2015-16,1.0,3.51,7.46,0.471,0.467,0.004
201150,2016-17,1.0,3.48,7.26,0.479,0.463,0.016
