PLAYER_ID,SEASON,TEAM_ID,"('0 Contesting Rebounders', 'DREB')","('0 Contesting Rebounders', 'OREB')","('0 Contesting Rebounders', 'REB')","('0 Contesting Rebounders', 'REB_FREQ')","('0-3 Feet', 'DREB')","('0-3 Feet', 'OREB')","('0-3 Feet', 'REB')","('0-3 Feet', 'REB_FREQ')","('1 Contesting Rebounder', 'DREB')","('1 Contesting Rebounder', 'OREB')","('1 Contesting Rebounder', 'REB')","('1 Contesting Rebounder', 'REB_FREQ')","('10+ Feet', 'DREB')","('10+ Feet', 'OREB')","('10+ Feet', 'REB')","('10+ Feet', 'REB_FREQ')","('2+ Contesting Rebounders', 'DREB')","('2+ Contesting Rebounders', 'OREB')","('2+ Contesting Rebounders', 'REB')","('2+ Contesting Rebounders', 'REB_FREQ')","('3-6 Feet', 'DREB')","('3-6 Feet', 'OREB')","('3-6 Feet', 'REB')","('3-6 Feet', 'REB_FREQ')","('6-10 Feet', 'DREB')","('6-10 Feet', 'OREB')","('6-10 Feet', 'REB')","('6-10 Feet', 'REB_FREQ')","('OVERALL', 'DREB')","('OVERALL', 'OREB')","('OVERALL', 'REB')","('OVERALL', 'REB_CONTESTED')","('OVERALL', 'REB_UNCONTESTED')"
1631123,2022-23,0.0,4.0,1.0,5.0,1.8,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.2,1.0,1.0,2.0,1.2,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.2,3.0,0.0,3.0,0.6,5,1,6,1,5
1631123,2023-24,0.0,13.0,2.0,15.0,1.589,3.0,0.0,3.0,0.322,3.0,1.0,4.0,0.411,2.0,1.0,3.0,0.322,0.0,0.0,0.0,0.0,7.0,1.0,8.0,0.8440000000000001,4.0,1.0,5.0,0.511,16,3,19,4,15
1631123,2024-25,1610612749.0,3.0,1.0,4.0,0.8,1.0,0.0,1.0,0.2,1.0,0.0,1.0,0.2,1.0,1.0,2.0,0.4,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.2,1.0,0.0,1.0,0.2,4,1,5,1,4
1631124,2023-24,1610612743.0,44.0,4.0,48.0,0.828,7.0,1.0,8.0,0.138,10.0,0.0,10.0,0.172,13.0,2.0,15.0,0.259,0.0,0.0,0.0,0.0,17.0,1.0,18.0,0.31,17.0,0.0,17.0,0.293,54,4,58,10,48
1631124,2024-25,1610612743.0,88.0,8.0,96.0,0.686,17.0,5.0,22.0,0.157,34.0,7.0,41.0,0.293,32.0,6.0,38.0,0.271,2.0,1.0,3.0,0.021,37.0,1.0,38.0,0.271,38.0,3.0,41.0,0.293,124,16,140,44,96
1631127,2024-25,1610612759.0,4.0,1.0,5.0,0.556,2.0,2.0,4.0,0.444,2.0,1.0,3.0,0.333,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.111,5.0,0.0,5.0,0.556,0.0,0.0,0.0,0.0,7,2,9,4,5
1631128,2022-23,1610612743.0,110.0,22.0,132.0,0.729,16.0,10.0,26.0,0.144,23.0,22.0,45.0,0.249,18.0,13.0,31.0,0.171,0.0,4.0,4.0,0.022,49.0,11.0,60.0,0.331,50.0,14.0,64.0,0.354,133,48,181,49,132
1631128,2023-24,1610612743.0,171.0,34.0,205.0,0.697,21.0,18.0,39.0,0.133,42.0,39.0,81.0,0.276,61.0,19.0,80.0,0.272,2.0,6.0,8.0,0.027,63.0,25.0,88.0,0.299,70.0,17.0,87.0,0.296,215,79,294,89,205
1631128,2024-25,1610612743.0,257.0,41.0,298.0,0.739,39.0,20.0,59.0,0.146,49.0,44.0,93.0,0.231,90.0,32.0,122.0,0.303,2.0,10.0,12.0,0.03,69.0,28.0,97.0,0.241,110.0,15.0,125.0,0.31,308,95,403,105,298
1631131,2023-24,1610612754.0,6.0,5.0,11.0,0.733,3.0,2.0,5.0,0.333,2.0,2.0,4.0,0.267,1.0,0.0,1.0,0.067,0.0,0.0,0.0,0.0,4.0,3.0,7.0,0.467,0.0,2.0,2.0,0.133,8,7,15,4,11
1631131,2024-25,1610612762.0,56.0,16.0,72.0,0.59,25.0,11.0,36.0,0.295,19.0,25.0,44.0,0.361,3.0,1.0,4.0,0.033,1.0,5.0,6.0,0.049,34.0,19.0,53.0,0.434,14.0,15.0,29.0,0.238,76,46,122,50,72
1631132,2022-23,1610612761.0,56.0,24.0,80.0,0.468,24.0,30.0,54.0,0.316,30.0,44.0,74.0,0.433,11.0,9.0,20.0,0.117,1.0,16.0,17.0,0.099,38.0,34.0,72.0,0.421,14.0,11.0,25.0,0.146,87,84,171,91,80
1631132,2024-25,1610612747.0,39.0,8.0,47.0,0.516,17.0,9.0,26.0,0.286,17.0,25.0,42.0,0.462,5.0,4.0,9.0,0.099,0.0,2.0,2.0,0.022,21.0,18.0,39.0,0.429,13.0,4.0,17.0,0.187,56,35,91,44,47
