,,,Restricted Area,Restricted Area,In The Paint (Non-RA),In The Paint (Non-RA),Mid-Range,Mid-Range,Left Corner 3,Left Corner 3,Right Corner 3,Right Corner 3,Above the Break 3,Above the Break 3,Corner 3,Corner 3,,,Restricted Area,In The Paint (Non-RA),Mid-Range,Left Corner 3,Right Corner 3,Above the Break 3,Corner 3,Restricted Area,In The Paint (Non-RA),Mid-Range,Left Corner 3,Right Corner 3,Above the Break 3,Corner 3
PLAYER_ID,PLAYER,SEASON,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FGA,TOTAL_FGM,TOTAL_FGA,FG_PCT,FG_PCT,FG_PCT,FG_PCT,FG_PCT,FG_PCT,FG_PCT,FREQ,FREQ,FREQ,FREQ,FREQ,FREQ,FREQ
1629636,Darius Garland,2020-21,128,224,89,218,40,94,10,27,11,21,84,218,21,48,383.0,850.0,0.57,0.41,0.43,0.37,0.52,0.39,0.44,0.26,0.26,0.11,0.03,0.02,0.26,0.06
1629636,Darius Garland,2021-22,151,263,114,236,102,218,14,31,7,27,153,396,21,58,562.0,1229.0,0.57,0.48,0.47,0.45,0.26,0.39,0.36,0.21,0.19,0.18,0.03,0.02,0.32,0.05
1629636,Darius Garland,2022-23,130,227,140,286,83,204,4,13,13,27,152,372,17,40,539.0,1169.0,0.57,0.49,0.41,0.31,0.48,0.41,0.42,0.19,0.24,0.17,0.01,0.02,0.32,0.03
1629636,Darius Garland,2023-24,107,180,85,194,51,111,11,25,11,27,110,304,22,52,397.0,893.0,0.59,0.44,0.46,0.44,0.41,0.36,0.42,0.2,0.22,0.12,0.03,0.03,0.34,0.06
1629636,Darius Garland,2024-25,129,212,139,264,74,169,17,43,15,41,180,444,32,84,586.0,1257.0,0.61,0.53,0.44,0.4,0.37,0.41,0.38,0.17,0.21,0.13,0.03,0.03,0.35,0.07
1629637,Jaxson Hayes,2019-20,168,231,4,22,1,2,1,1,0,0,0,0,1,1,175.0,257.0,0.73,0.18,0.5,1.0,0.0,0.0,1.0,0.9,0.09,0.01,0.0,0.0,0.0,0.0
1629637,Jaxson Hayes,2020-21,137,196,25,54,7,16,0,0,2,5,3,8,2,5,176.0,284.0,0.7,0.46,0.44,0.0,0.4,0.38,0.4,0.69,0.19,0.06,0.0,0.02,0.03,0.02
1629637,Jaxson Hayes,2021-22,177,232,43,88,5,21,2,6,3,12,15,38,5,18,250.0,415.0,0.76,0.49,0.24,0.33,0.25,0.39,0.28,0.56,0.21,0.05,0.01,0.03,0.09,0.04
1629637,Jaxson Hayes,2022-23,64,88,18,37,1,2,1,7,1,6,1,16,2,13,88.0,169.0,0.73,0.49,0.5,0.14,0.17,0.06,0.15,0.52,0.22,0.01,0.04,0.04,0.09,0.08
1629637,Jaxson Hayes,2023-24,110,137,15,27,1,3,0,0,0,1,0,6,0,1,126.0,175.0,0.8,0.56,0.33,0.0,0.0,0.0,0.0,0.78,0.15,0.02,0.0,0.01,0.03,0.01
1629637,Jaxson Hayes,2024-25,145,180,15,38,1,2,0,1,0,0,0,2,0,1,161.0,224.0,0.81,0.39,0.5,0.0,0.0,0.0,0.0,0.8,0.17,0.01,0.0,0.0,0.01,0.0
1629638,Nickeil Alexander-Walker,2019-20,36,78,11,36,5,19,5,12,5,14,36,104,10,26,108.0,289.0,0.46,0.31,0.26,0.42,0.36,0.35,0.38,0.27,0.12,0.07,0.04,0.05,0.36,0.09
1629638,Nickeil Alexander-Walker,2020-21,69,135,24,54,23,50,13,31,14,37,48,150,27,68,218.0,525.0,0.51,0.44,0.46,0.42,0.38,0.32,0.4,0.26,0.1,0.1,0.06,0.07,0.29,0.13
1629638,Nickeil Alexander-Walker,2021-22,99,187,29,86,22,72,14,46,16,39,73,248,30,85,283.0,763.0,0.53,0.34,0.31,0.3,0.41,0.29,0.35,0.25,0.11,0.09,0.06,0.05,0.33,0.11
1629638,Nickeil Alexander-Walker,2022-23,37,61,18,46,16,31,10,24,8,23,42,108,18,47,149.0,340.0,0.61,0.39,0.52,0.42,0.35,0.39,0.38,0.18,0.14,0.09,0.07,0.07,0.32,0.14
1629638,Nickeil Alexander-Walker,2023-24,64,105,27,64,14,34,35,88,38,76,58,169,73,164,309.0,700.0,0.61,0.42,0.41,0.4,0.5,0.34,0.45,0.15,0.09,0.05,0.13,0.11,0.24,0.23
1629638,Nickeil Alexander-Walker,2024-25,78,123,34,88,17,35,29,56,36,81,76,229,65,137,335.0,749.0,0.63,0.39,0.49,0.52,0.44,0.33,0.47,0.16,0.12,0.05,0.07,0.11,0.31,0.18
1629639,Tyler Herro,2019-20,57,101,32,67,65,165,9,22,14,29,93,245,23,51,293.0,680.0,0.56,0.48,0.39,0.41,0.48,0.38,0.45,0.15,0.1,0.24,0.03,0.04,0.36,0.08
1629639,Tyler Herro,2020-21,91,141,46,114,63,147,8,16,11,26,88,251,19,42,326.0,737.0,0.65,0.4,0.43,0.5,0.42,0.35,0.45,0.19,0.15,0.2,0.02,0.04,0.34,0.06
1629639,Tyler Herro,2021-22,120,195,101,221,105,268,19,41,22,57,134,335,41,98,542.0,1215.0,0.62,0.46,0.39,0.46,0.39,0.4,0.42,0.16,0.18,0.22,0.03,0.05,0.28,0.08
1629639,Tyler Herro,2022-23,95,147,117,230,72,195,29,57,17,44,157,434,46,101,533.0,1208.0,0.65,0.51,0.37,0.51,0.39,0.36,0.46,0.12,0.19,0.16,0.05,0.04,0.36,0.08
1629639,Tyler Herro,2023-24,44,85,97,187,51,130,2,10,17,32,113,290,19,42,343.0,776.0,0.52,0.52,0.39,0.2,0.53,0.39,0.45,0.11,0.24,0.17,0.01,0.04,0.37,0.05
1629639,Tyler Herro,2024-25,149,228,193,347,58,133,17,36,20,45,214,587,37,81,688.0,1457.0,0.65,0.56,0.44,0.47,0.44,0.36,0.46,0.16,0.24,0.09,0.02,0.03,0.4,0.06
1629640,Keldon Johnson,2019-20,28,40,7,18,5,9,6,12,2,3,5,6,8,15,61.0,103.0,0.7,0.39,0.56,0.5,0.67,0.83,0.53,0.39,0.17,0.09,0.12,0.03,0.06,0.15
1629640,Keldon Johnson,2020-21,207,347,48,133,23,44,7,28,6,17,47,134,13,45,351.0,748.0,0.6,0.36,0.52,0.25,0.35,0.35,0.29,0.46,0.18,0.06,0.04,0.02,0.18,0.06
1629640,Keldon Johnson,2021-22,176,285,110,260,26,67,27,53,19,41,113,304,46,94,517.0,1104.0,0.62,0.42,0.39,0.51,0.46,0.37,0.49,0.26,0.24,0.06,0.05,0.04,0.28,0.09
1629640,Keldon Johnson,2022-23,236,379,110,261,24,67,23,60,13,37,97,307,36,97,539.0,1208.0,0.62,0.42,0.36,0.38,0.35,0.32,0.37,0.31,0.22,0.06,0.05,0.03,0.25,0.08
1629640,Keldon Johnson,2023-24,174,289,72,168,18,38,21,58,16,59,90,249,37,117,428.0,978.0,0.6,0.43,0.47,0.36,0.27,0.36,0.32,0.3,0.17,0.04,0.06,0.06,0.25,0.12
1629640,Keldon Johnson,2024-25,216,324,67,162,1,10,9,47,18,52,60,175,27,99,398.0,869.0,0.67,0.41,0.1,0.19,0.35,0.34,0.27,0.37,0.19,0.01,0.05,0.06,0.2,0.11
1629642,N. Little,2019-20,44,69,6,17,1,6,3,12,1,13,10,34,4,25,69.0,176.0,0.64,0.35,0.17,0.25,0.08,0.29,0.16,0.39,0.1,0.03,0.07,0.07,0.19,0.14
1629642,N. Little,2020-21,33,50,11,20,6,17,2,8,3,6,23,66,5,14,83.0,181.0,0.66,0.55,0.35,0.25,0.5,0.35,0.36,0.28,0.11,0.09,0.04,0.03,0.36,0.08
1629642,N. Little,2021-22,72,106,12,31,10,24,7,18,9,25,35,111,16,43,161.0,358.0,0.68,0.39,0.42,0.39,0.36,0.32,0.37,0.3,0.09,0.07,0.05,0.07,0.31,0.12
1629642,N. Little,2022-23,47,74,11,34,18,37,4,11,5,12,49,133,9,23,143.0,324.0,0.64,0.32,0.49,0.36,0.42,0.37,0.39,0.23,0.1,0.11,0.03,0.04,0.41,0.07
1629642,N. Little,2023-24,24,34,8,13,4,7,5,16,3,9,13,45,8,25,65.0,149.0,0.71,0.62,0.57,0.31,0.33,0.29,0.32,0.23,0.09,0.05,0.11,0.06,0.3,0.17
1629642,N. Little,2024-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1629643,Chuma Okeke,2020-21,36,60,16,44,34,79,5,15,3,7,41,116,8,22,143.0,343.0,0.6,0.36,0.43,0.33,0.43,0.35,0.36,0.17,0.13,0.23,0.04,0.02,0.34,0.06
1629643,Chuma Okeke,2021-22,65,103,21,61,12,41,21,50,15,44,82,276,36,94,252.0,669.0,0.63,0.34,0.29,0.42,0.34,0.3,0.38,0.15,0.09,0.06,0.07,0.07,0.41,0.14
1629643,Chuma Okeke,2022-23,14,21,2,8,1,8,4,10,4,7,18,68,8,17,51.0,139.0,0.67,0.25,0.12,0.4,0.57,0.26,0.47,0.15,0.06,0.06,0.07,0.05,0.49,0.12
1629643,Chuma Okeke,2023-24,13,19,3,6,1,5,8,13,2,12,13,56,10,25,50.0,136.0,0.68,0.5,0.2,0.62,0.17,0.23,0.4,0.14,0.04,0.04,0.1,0.09,0.41,0.18
1629643,Chuma Okeke,2024-25,9,12,0,0,0,0,3,5,3,8,5,15,6,13,26.0,53.0,0.75,0.0,0.0,0.6,0.38,0.33,0.46,0.23,0.0,0.0,0.09,0.15,0.28,0.25
1629645,Kevin Porter Jr.,2019-20,92,134,20,57,21,72,5,15,9,20,39,122,14,35,200.0,455.0,0.69,0.35,0.29,0.33,0.45,0.32,0.4,0.29,0.13,0.16,0.03,0.04,0.27,0.08
1629645,Kevin Porter Jr.,2020-21,66,101,22,65,18,40,2,6,7,20,41,135,9,26,165.0,393.0,0.65,0.34,0.45,0.33,0.35,0.3,0.35,0.26,0.17,0.1,0.02,0.05,0.34,0.07
1629645,Kevin Porter Jr.,2021-22,118,204,35,111,27,80,11,23,10,22,134,368,21,45,356.0,853.0,0.58,0.32,0.34,0.48,0.45,0.36,0.47,0.24,0.13,0.09,0.03,0.03,0.43,0.05
1629645,Kevin Porter Jr.,2022-23,125,191,83,211,42,97,13,21,9,25,119,338,22,46,413.0,929.0,0.65,0.39,0.43,0.62,0.36,0.35,0.48,0.21,0.23,0.1,0.02,0.03,0.36,0.05
1629645,Kevin Porter Jr.,2024-25,87,140,81,182,70,153,3,9,7,15,45,153,10,24,303.0,676.0,0.62,0.45,0.46,0.33,0.47,0.29,0.42,0.21,0.27,0.23,0.01,0.02,0.23,0.04
1629646,Charles Bassey,2021-22,21,29,8,11,1,3,0,0,0,1,0,3,0,1,30.0,48.0,0.72,0.73,0.33,0.0,0.0,0.0,0.0,0.6,0.23,0.06,0.0,0.02,0.06,0.02
1629646,Charles Bassey,2022-23,61,84,14,31,9,12,0,1,0,1,3,6,0,2,87.0,137.0,0.73,0.45,0.75,0.0,0.0,0.5,0.0,0.61,0.23,0.09,0.01,0.01,0.04,0.01
1629646,Charles Bassey,2023-24,22,26,7,8,0,5,0,0,0,0,0,1,0,0,29.0,40.0,0.85,0.88,0.0,0.0,0.0,0.0,0.0,0.65,0.2,0.12,0.0,0.0,0.02,0.0
1629646,Charles Bassey,2024-25,50,81,17,32,1,4,0,0,0,0,0,0,0,0,68.0,117.0,0.62,0.53,0.25,0.0,0.0,0.0,0.0,0.69,0.27,0.03,0.0,0.0,0.0,0.0
1629647,D. Bazley,2019-20,56,104,13,51,7,22,9,19,7,31,33,90,16,50,141.0,367.0,0.54,0.25,0.32,0.47,0.23,0.37,0.32,0.28,0.14,0.06,0.05,0.08,0.25,0.14
1629647,D. Bazley,2020-21,145,251,29,107,16,46,12,39,5,27,66,219,17,66,290.0,755.0,0.58,0.27,0.35,0.31,0.19,0.3,0.26,0.33,0.14,0.06,0.05,0.04,0.29,0.09
1629647,D. Bazley,2021-22,146,251,44,114,4,15,15,33,9,38,56,197,24,71,298.0,719.0,0.58,0.39,0.27,0.45,0.24,0.28,0.34,0.35,0.16,0.02,0.05,0.05,0.27,0.1
1629647,D. Bazley,2022-23,52,94,8,26,3,10,3,10,6,9,11,34,9,19,92.0,202.0,0.55,0.31,0.3,0.3,0.67,0.32,0.47,0.47,0.13,0.05,0.05,0.04,0.17,0.09
1629647,D. Bazley,2023-24,11,13,5,8,0,1,1,3,1,2,0,3,2,5,20.0,35.0,0.85,0.62,0.0,0.33,0.5,0.0,0.4,0.37,0.23,0.03,0.09,0.06,0.09,0.14
1629650,M. Brown,2019-20,3,8,1,2,0,0,0,0,0,0,0,0,0,0,4.0,10.0,0.38,0.5,0.0,0.0,0.0,0.0,0.0,0.8,0.2,0.0,0.0,0.0,0.0,0.0
1629650,M. Brown,2020-21,132,215,14,53,0,0,0,0,0,0,0,0,0,0,146.0,268.0,0.61,0.26,0.0,0.0,0.0,0.0,0.0,0.8,0.2,0.0,0.0,0.0,0.0,0.0
1629650,M. Brown,2021-22,56,89,8,17,0,2,0,0,0,0,0,0,0,0,64.0,108.0,0.63,0.47,0.0,0.0,0.0,0.0,0.0,0.82,0.16,0.02,0.0,0.0,0.0,0.0
1629650,M. Brown,2022-23,55,83,6,12,0,1,0,0,0,0,0,0,0,0,61.0,96.0,0.66,0.5,0.0,0.0,0.0,0.0,0.0,0.86,0.12,0.01,0.0,0.0,0.0,0.0
1629650,M. Brown,2023-24,25,44,8,19,0,2,0,0,0,0,0,0,0,0,33.0,65.0,0.57,0.42,0.0,0.0,0.0,0.0,0.0,0.68,0.29,0.03,0.0,0.0,0.0,0.0
1629650,M. Brown,2024-25,29,34,5,15,0,0,0,0,0,0,0,0,0,0,34.0,49.0,0.85,0.33,0.0,0.0,0.0,0.0,0.0,0.69,0.31,0.0,0.0,0.0,0.0,0.0
1629651,Nic Claxton,2019-20,21,29,4,10,1,2,0,2,0,2,1,3,0,4,27.0,52.0,0.72,0.4,0.5,0.0,0.0,0.33,0.0,0.56,0.19,0.04,0.04,0.04,0.06,0.08
1629651,Nic Claxton,2020-21,79,110,10,27,0,3,0,1,0,1,1,3,0,2,90.0,147.0,0.72,0.37,0.0,0.0,0.0,0.33,0.0,0.75,0.18,0.02,0.01,0.01,0.02,0.01
1629651,Nic Claxton,2021-22,163,208,14,54,1,2,0,0,0,0,0,0,0,0,178.0,264.0,0.78,0.26,0.5,0.0,0.0,0.0,0.0,0.79,0.2,0.01,0.0,0.0,0.0,0.0
1629651,Nic Claxton,2022-23,349,449,62,129,3,7,0,2,0,0,0,0,0,2,414.0,589.0,0.78,0.48,0.43,0.0,0.0,0.0,0.0,0.76,0.22,0.01,0.0,0.0,0.0,0.0
1629651,Nic Claxton,2023-24,290,396,68,165,7,16,1,2,0,2,0,1,1,4,367.0,586.0,0.73,0.41,0.44,0.5,0.0,0.0,0.25,0.68,0.28,0.03,0.0,0.0,0.0,0.01
1629651,Nic Claxton,2024-25,231,323,72,191,12,33,1,4,1,4,3,13,2,8,322.0,576.0,0.72,0.38,0.36,0.25,0.25,0.23,0.25,0.56,0.33,0.06,0.01,0.01,0.02,0.01
1629652,Luguentz Dort,2019-20,51,91,5,23,0,4,5,14,8,28,17,58,13,42,99.0,260.0,0.56,0.22,0.0,0.36,0.29,0.29,0.31,0.35,0.09,0.02,0.05,0.11,0.22,0.16
1629652,Luguentz Dort,2020-21,93,185,33,103,9,23,11,26,12,26,89,276,23,52,270.0,691.0,0.5,0.32,0.39,0.42,0.46,0.32,0.44,0.27,0.15,0.03,0.04,0.04,0.4,0.08
1629652,Luguentz Dort,2021-22,99,181,53,120,11,34,10,26,16,34,104,330,26,60,319.0,785.0,0.55,0.44,0.32,0.38,0.47,0.32,0.43,0.23,0.15,0.04,0.03,0.04,0.42,0.08
1629652,Luguentz Dort,2022-23,153,315,36,117,16,33,22,50,18,50,94,307,40,100,379.0,972.0,0.49,0.31,0.48,0.44,0.36,0.31,0.4,0.32,0.12,0.03,0.05,0.05,0.32,0.1
1629652,Luguentz Dort,2023-24,92,160,24,56,16,45,23,60,23,55,110,281,46,115,334.0,772.0,0.57,0.43,0.36,0.38,0.42,0.39,0.4,0.21,0.07,0.06,0.08,0.07,0.36,0.15
1629652,Luguentz Dort,2024-25,54,94,18,52,16,34,20,52,27,60,123,301,47,112,305.0,705.0,0.57,0.35,0.47,0.38,0.45,0.41,0.42,0.13,0.07,0.05,0.07,0.09,0.43,0.16
1629655,Daniel Gafford,2019-20,91,119,3,15,0,0,0,0,0,0,0,0,0,0,94.0,134.0,0.76,0.2,0.0,0.0,0.0,0.0,0.0,0.89,0.11,0.0,0.0,0.0,0.0,0.0
1629655,Daniel Gafford,2020-21,122,159,31,60,1,6,0,0,0,0,0,0,0,0,154.0,225.0,0.77,0.52,0.17,0.0,0.0,0.0,0.0,0.71,0.27,0.03,0.0,0.0,0.0,0.0
1629655,Daniel Gafford,2021-22,256,325,27,74,2,11,0,0,0,0,0,1,0,0,285.0,411.0,0.79,0.36,0.18,0.0,0.0,0.0,0.0,0.79,0.18,0.03,0.0,0.0,0.0,0.0
1629655,Daniel Gafford,2022-23,225,275,57,104,7,16,0,0,0,0,0,0,0,0,289.0,395.0,0.82,0.55,0.44,0.0,0.0,0.0,0.0,0.7,0.26,0.04,0.0,0.0,0.0,0.0
1629655,Daniel Gafford,2023-24,298,378,44,92,6,10,0,0,0,0,0,0,0,0,348.0,480.0,0.79,0.48,0.6,0.0,0.0,0.0,0.0,0.79,0.19,0.02,0.0,0.0,0.0,0.0
1629655,Daniel Gafford,2024-25,237,319,44,81,2,3,0,0,0,0,0,0,0,0,283.0,403.0,0.74,0.54,0.67,0.0,0.0,0.0,0.0,0.79,0.2,0.01,0.0,0.0,0.0,0.0
1629656,Quentin Grimes,2021-22,15,23,0,4,8,19,16,33,6,17,50,139,22,50,117.0,285.0,0.65,0.0,0.42,0.48,0.35,0.36,0.44,0.08,0.01,0.07,0.12,0.06,0.49,0.18
1629656,Quentin Grimes,2022-23,115,160,5,19,6,20,47,97,18,48,91,258,65,145,347.0,747.0,0.72,0.26,0.3,0.48,0.38,0.35,0.45,0.21,0.03,0.03,0.13,0.06,0.35,0.19
1629656,Quentin Grimes,2023-24,36,64,3,9,2,15,24,64,4,19,53,157,28,83,150.0,411.0,0.56,0.33,0.13,0.38,0.21,0.34,0.34,0.16,0.02,0.04,0.16,0.05,0.38,0.2
1629656,Quentin Grimes,2024-25,156,228,29,75,37,99,33,66,16,35,113,320,49,101,433.0,924.0,0.68,0.39,0.37,0.5,0.46,0.35,0.49,0.25,0.08,0.11,0.07,0.04,0.35,0.11
1629659,Talen Horton-Tucker,2019-20,9,12,0,3,1,2,2,3,0,2,2,8,2,5,16.0,35.0,0.75,0.0,0.5,0.67,0.0,0.25,0.4,0.34,0.09,0.06,0.09,0.06,0.23,0.14
1629659,Talen Horton-Tucker,2020-21,150,246,25,76,12,36,1,13,4,16,32,101,5,29,229.0,517.0,0.61,0.33,0.33,0.08,0.25,0.32,0.17,0.48,0.15,0.07,0.03,0.03,0.2,0.06
1629659,Talen Horton-Tucker,2021-22,123,202,31,90,21,65,6,16,5,21,38,144,11,37,235.0,575.0,0.61,0.34,0.32,0.38,0.24,0.26,0.3,0.35,0.16,0.11,0.03,0.04,0.25,0.06
1629659,Talen Horton-Tucker,2022-23,115,201,67,157,17,52,10,22,1,10,47,166,11,32,268.0,640.0,0.57,0.43,0.33,0.45,0.1,0.28,0.34,0.31,0.25,0.08,0.03,0.02,0.26,0.05
1629659,Talen Horton-Tucker,2023-24,75,133,42,110,7,40,9,22,4,16,47,142,13,38,197.0,501.0,0.56,0.38,0.18,0.41,0.25,0.33,0.34,0.27,0.22,0.08,0.04,0.03,0.28,0.08
1629659,Talen Horton-Tucker,2024-25,73,128,16,34,3,7,8,15,3,12,30,95,11,27,144.0,318.0,0.57,0.47,0.43,0.53,0.25,0.32,0.41,0.4,0.11,0.02,0.05,0.04,0.3,0.08
1629660,Ty Jerome,2019-20,9,21,12,30,3,12,2,8,1,3,11,38,3,11,41.0,123.0,0.43,0.4,0.25,0.25,0.33,0.29,0.27,0.17,0.24,0.1,0.07,0.02,0.31,0.09
1629660,Ty Jerome,2020-21,20,32,32,67,5,20,7,15,6,15,58,136,13,30,141.0,315.0,0.62,0.48,0.25,0.47,0.4,0.43,0.43,0.1,0.21,0.06,0.05,0.05,0.43,0.1
1629660,Ty Jerome,2021-22,16,32,47,94,7,16,4,15,9,17,41,153,13,32,137.0,359.0,0.5,0.5,0.44,0.27,0.53,0.27,0.41,0.09,0.26,0.04,0.04,0.05,0.43,0.09
1629660,Ty Jerome,2022-23,32,44,41,83,10,26,4,7,7,14,24,68,11,21,129.0,263.0,0.73,0.49,0.38,0.57,0.5,0.35,0.52,0.17,0.32,0.1,0.03,0.05,0.26,0.08
1629660,Ty Jerome,2023-24,1,2,0,0,1,1,0,0,0,0,0,1,0,0,2.0,4.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.5,0.0,0.25,0.0,0.0,0.25,0.0
1629660,Ty Jerome,2024-25,49,91,121,209,38,65,13,22,6,17,92,212,19,39,338.0,655.0,0.54,0.58,0.58,0.59,0.35,0.43,0.49,0.14,0.32,0.1,0.03,0.03,0.32,0.06
1629661,Cameron Johnson,2019-20,54,81,2,16,14,36,22,53,24,61,60,157,46,114,222.0,518.0,0.67,0.12,0.39,0.42,0.39,0.38,0.4,0.16,0.03,0.07,0.1,0.12,0.3,0.22
1629661,Cameron Johnson,2020-21,54,76,16,34,16,38,22,59,35,75,60,200,57,134,260.0,616.0,0.71,0.47,0.42,0.37,0.47,0.3,0.43,0.12,0.06,0.06,0.1,0.12,0.32,0.22
1629661,Cameron Johnson,2021-22,73,97,32,77,8,42,26,62,43,88,97,240,69,150,348.0,756.0,0.75,0.42,0.19,0.42,0.49,0.4,0.46,0.13,0.1,0.06,0.08,0.12,0.32,0.2
1629661,Cameron Johnson,2022-23,74,109,16,42,30,68,18,44,22,49,63,162,40,93,263.0,567.0,0.68,0.38,0.44,0.41,0.45,0.39,0.43,0.19,0.07,0.12,0.08,0.09,0.29,0.16
1629661,Cameron Johnson,2023-24,83,127,33,76,22,63,29,64,26,56,83,232,55,120,331.0,738.0,0.65,0.43,0.35,0.45,0.46,0.36,0.46,0.17,0.1,0.09,0.09,0.08,0.31,0.16
1629661,Cameron Johnson,2024-25,120,168,43,92,33,79,22,54,18,39,119,315,40,93,395.0,840.0,0.71,0.47,0.42,0.41,0.46,0.38,0.43,0.2,0.11,0.09,0.06,0.05,0.38,0.11
1629667,J. McDaniels,2019-20,16,28,7,15,1,3,2,6,4,8,3,9,6,14,39.0,83.0,0.57,0.47,0.33,0.33,0.5,0.33,0.43,0.34,0.18,0.04,0.07,0.1,0.11,0.17
1629667,J. McDaniels,2020-21,73,115,21,56,4,8,10,34,9,23,16,47,19,57,152.0,340.0,0.63,0.38,0.5,0.29,0.39,0.34,0.33,0.34,0.16,0.02,0.1,0.07,0.14,0.17
1629667,J. McDaniels,2021-22,56,84,22,49,4,14,7,20,7,21,27,65,14,41,137.0,294.0,0.67,0.45,0.29,0.35,0.33,0.42,0.34,0.29,0.17,0.05,0.07,0.07,0.22,0.14
1629667,J. McDaniels,2022-23,140,235,48,116,16,34,14,39,18,54,45,139,32,93,313.0,710.0,0.6,0.41,0.47,0.36,0.33,0.32,0.34,0.33,0.16,0.05,0.05,0.08,0.2,0.13
1629667,J. McDaniels,2023-24,29,51,23,55,1,12,2,8,4,14,6,49,6,22,71.0,211.0,0.57,0.42,0.08,0.25,0.29,0.12,0.27,0.24,0.26,0.06,0.04,0.07,0.23,0.1
1629667,J. McDaniels,2024-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1629669,J. Nowell,2019-20,9,17,4,7,3,4,1,8,0,0,2,17,1,8,20.0,61.0,0.53,0.57,0.75,0.12,0.0,0.12,0.12,0.28,0.11,0.07,0.13,0.0,0.28,0.13
1629669,J. Nowell,2020-21,33,65,34,74,27,48,8,18,5,12,35,117,13,30,155.0,364.0,0.51,0.46,0.56,0.44,0.42,0.3,0.43,0.18,0.2,0.13,0.05,0.03,0.32,0.08
1629669,J. Nowell,2021-22,64,104,47,97,23,54,8,18,6,13,48,125,14,31,210.0,442.0,0.62,0.48,0.43,0.44,0.46,0.38,0.45,0.24,0.22,0.12,0.04,0.03,0.28,0.07
1629669,J. Nowell,2022-23,111,183,75,147,28,64,3,12,5,27,58,188,8,39,288.0,660.0,0.61,0.51,0.44,0.25,0.19,0.31,0.21,0.28,0.22,0.1,0.02,0.04,0.28,0.06
1629669,J. Nowell,2023-24,5,11,11,21,12,17,0,2,1,3,5,23,1,5,35.0,82.0,0.45,0.52,0.71,0.0,0.33,0.22,0.2,0.13,0.26,0.21,0.02,0.04,0.28,0.06
1629669,J. Nowell,2024-25,6,12,10,27,2,7,3,3,0,3,5,21,3,6,29.0,79.0,0.5,0.37,0.29,1.0,0.0,0.24,0.5,0.15,0.34,0.09,0.04,0.04,0.27,0.08
1629670,J. Nwora,2020-21,15,30,6,15,13,28,2,6,3,6,23,49,5,12,67.0,146.0,0.5,0.4,0.46,0.33,0.5,0.47,0.42,0.21,0.1,0.19,0.04,0.04,0.34,0.08
1629670,J. Nwora,2021-22,65,105,20,51,22,79,17,37,7,32,55,158,24,69,210.0,531.0,0.62,0.39,0.28,0.46,0.22,0.35,0.35,0.2,0.1,0.15,0.07,0.06,0.3,0.13
1629670,J. Nwora,2022-23,66,120,23,61,19,53,14,40,11,26,61,145,25,66,219.0,511.0,0.55,0.38,0.36,0.35,0.42,0.42,0.38,0.23,0.12,0.1,0.08,0.05,0.28,0.13
1629670,J. Nwora,2023-24,62,94,23,51,9,23,7,20,7,19,30,90,14,39,152.0,336.0,0.66,0.45,0.39,0.35,0.37,0.33,0.36,0.28,0.15,0.07,0.06,0.06,0.27,0.12
1629672,E. Paschall,2019-20,168,247,58,136,55,128,5,17,5,17,27,93,10,34,328.0,672.0,0.68,0.43,0.43,0.29,0.29,0.29,0.29,0.37,0.2,0.19,0.03,0.03,0.14,0.05
1629672,E. Paschall,2020-21,69,107,23,60,38,77,2,4,3,9,13,41,5,13,153.0,311.0,0.64,0.38,0.49,0.5,0.33,0.32,0.38,0.34,0.19,0.25,0.01,0.03,0.13,0.04
1629672,E. Paschall,2021-22,57,89,14,31,4,9,10,28,13,30,16,46,23,58,137.0,291.0,0.64,0.45,0.44,0.36,0.43,0.35,0.4,0.31,0.11,0.03,0.1,0.1,0.16,0.2
1629673,Jordan Poole,2019-20,39,81,20,57,34,99,6,22,6,15,62,226,12,37,179.0,537.0,0.48,0.35,0.34,0.27,0.4,0.27,0.32,0.15,0.11,0.18,0.04,0.03,0.42,0.07
1629673,Jordan Poole,2020-21,63,90,29,65,17,44,11,17,8,14,76,243,19,31,223.0,504.0,0.7,0.45,0.39,0.65,0.57,0.31,0.61,0.18,0.13,0.09,0.03,0.03,0.48,0.06
1629673,Jordan Poole,2021-22,141,213,78,159,46,108,14,50,20,46,174,477,34,96,507.0,1149.0,0.66,0.49,0.43,0.28,0.43,0.36,0.35,0.19,0.14,0.09,0.04,0.04,0.42,0.08
1629673,Jordan Poole,2022-23,175,260,100,217,61,164,19,43,7,33,188,553,26,76,576.0,1346.0,0.67,0.46,0.37,0.44,0.21,0.34,0.34,0.19,0.16,0.12,0.03,0.02,0.41,0.06
