ALL_STAR_ID,ALL_STAR_NAME,GROUP_ID,GROUP_NAME,LINEUP_ARCHETYPE,SEASON
2544,LeBron James,2544-2747-201145-203903-1626224,L. James - J. Smith - J. Green - J. Clarkson - C. Osman,All Around Guard-Glue guy-Shot Creator Guard-Wing Shot Creator,2017-18
2544,LeBron James,2544-2747-201145-202684-1626224,L. James - J. Smith - J. Green - T. Thompson - C. Osman,All Around Guard-Glue guy-Rim Runner/Protector-Wing Shot Creator,2017-18
2544,LeBron James,2544-2594-101112-201145-202738,L. James - K. Korver - C. Frye - J. Green - I. Thomas,All Around Guard-Movement Shooter-Stretch Big-Wing Shot Creator,2017-18
2544,LeBron James,2544-2594-201145-201567-203903,L. James - K. Korver - J. Green - K. Love - J. Clarkson,Movement Shooter-Shot Creator Guard-Stretch Big-Wing Shot Creator,2017-18
2544,LeBron James,2544-2594-201145-201567-203918,L. James - K. Korver - J. Green - K. Love - R. Hood,All Around Guard-Movement Shooter-Stretch Big-Wing Shot Creator,2017-18
2544,LeBron James,2544-2594-2747-201145-203903,L. James - K. Korver - J. Smith - J. Green - J. Clarkson,All Around Guard-Movement Shooter-Shot Creator Guard-Wing Shot Creator,2017-18
2544,LeBron James,2544-2548-2594-202684-203109,L. James - D. Wade - K. Korver - T. Thompson - J. Crowder,Glue guy-Movement Shooter-Rim Runner/Protector-Shot Creator Guard,2017-18
2544,LeBron James,2544-101181-201145-201588-1626204,L. James - J. Calderon - J. Green - G. Hill - L. Nance Jr.,Movement Shooter-Rim Runner/Protector-Shot Creator Guard-Wing Shot Creator,2017-18
2544,LeBron James,2544-201145-201567-201588-203918,L. James - J. Green - K. Love - G. Hill - R. Hood,All Around Guard-Shot Creator Guard-Stretch Big-Wing Shot Creator,2017-18
2544,LeBron James,2544-201145-201567-203903-203918,L. James - J. Green - K. Love - J. Clarkson - R. Hood,All Around Guard-Shot Creator Guard-Stretch Big-Wing Shot Creator,2017-18
2544,LeBron James,2544-2747-101112-201565-203109,L. James - J. Smith - C. Frye - D. Rose - J. Crowder,All Around Guard-Glue guy-Glue guy-Stretch Big,2017-18
2544,LeBron James,2544-2747-201588-1626204-1626224,L. James - J. Smith - G. Hill - L. Nance Jr. - C. Osman,All Around Guard-Glue guy-Rim Runner/Protector-Shot Creator Guard,2017-18
2544,LeBron James,2544-2747-201588-202684-203903,L. James - J. Smith - G. Hill - T. Thompson - J. Clarkson,All Around Guard-Rim Runner/Protector-Shot Creator Guard-Shot Creator Guard,2017-18
